Date,SOLLTEMPERATUR HK 1,SOLLTEMPERATUR HK 2,ISTTEMPERATUR,SOLLTEMPERATUR,BIVALENZTEMPERATUR HZG,BIVALENZTEMPERATUR WW,VERFLÜSSIGERTEMP.,DRUCK HEIZKREIS,VOLUMENSTROM,LEISTUNG WP,LSTG PU PUMPE,AUSSENTEMPERATUR,ISTTEMPERATUR HK 1,SOLLTEMPERATUR HK 1,ISTTEMPERATUR HK 2,SOLLTEMPERATUR HK 2,VORLAUFISTTEMPERATUR WP,VORLAUFISTTEMPERATUR NHZ,RÜCKLAUFISTTEMPERATUR,FESTWERTSOLLTEMPERATUR,PUFFERSOLLTEMPERATUR,PUFFERISTTEMPERATUR,RESTSTILLSTANDZEIT,VD HEIZEN,VD WARMWASSER,NHZ 1,NHZ 2,VD HEIZEN TAG,VD HEIZEN SUMME,VD WARMWASSER TAG,VD WARMWASSER SUMME,NHZ HEIZEN SUMME,MIN,MIDDLE,MAX,HEIZEN,WARMWASSER
2017 09 08 21:55:34,22.0,22.0,45.6,50.0,-12.0,-12.0,25.2,2.39,0.0,0,0,11.5,33.8,22.0,27.6,22.0,34.8,34.6,32.8,30.0,30.0,33.8,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 22:05:28,22.0,22.0,45.6,50.0,-12.0,-12.0,19.9,2.37,0.0,0,0,11.6,32.4,22.0,27.7,22.0,34.6,34.0,32.4,30.0,30.0,32.4,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:05:32,22.0,22.0,45.6,50.0,-12.0,-12.0,19.9,2.37,0.0,0,0,11.6,32.4,22.0,27.7,22.0,34.6,34.0,32.4,30.0,30.0,32.4,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:05:34,22.0,22.0,45.6,50.0,-12.0,-12.0,19.9,2.37,0.0,0,0,11.6,32.4,22.0,27.7,22.0,34.6,34.0,32.4,30.0,30.0,32.4,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:15:29,22.0,22.0,45.7,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,11.4,29.1,22.0,27.7,22.0,34.3,33.6,32.0,30.0,30.0,29.1,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:15:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,11.4,29.1,22.0,27.6,22.0,34.3,33.6,31.9,30.0,30.0,29.1,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:15:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,11.4,29.1,22.0,27.6,22.0,34.3,33.6,31.9,30.0,30.0,29.1,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:25:29,22.0,22.0,45.6,50.0,-12.0,-12.0,16.3,2.37,0.0,0,0,11.4,27.0,22.0,27.6,22.0,34.0,33.2,31.5,30.0,30.0,27.0,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:25:32,22.0,22.0,45.6,50.0,-12.0,-12.0,16.3,2.37,0.0,0,0,11.4,27.0,22.0,27.6,22.0,34.0,33.2,31.5,30.0,30.0,27.0,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:25:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.3,2.37,0.0,0,0,11.4,27.0,22.0,27.6,22.0,34.0,33.2,31.5,30.0,30.0,27.0,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:30:19,22.0,22.0,45.6,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,11.4,26.5,22.0,27.6,22.0,33.9,33.0,31.3,30.0,30.0,26.5,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:45:29,22.0,22.0,45.6,50.0,-12.0,-12.0,16.7,2.37,0.0,0,0,11.1,25.9,22.0,27.2,22.0,33.5,32.5,30.9,30.0,30.0,25.9,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:45:33,22.0,22.0,45.6,50.0,-12.0,-12.0,16.7,2.37,0.0,0,0,11.1,25.9,22.0,27.2,22.0,33.5,32.5,30.9,30.0,30.0,25.9,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:45:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.7,2.37,0.0,0,0,11.1,25.9,22.0,27.2,22.0,33.5,32.5,30.9,30.0,30.0,25.9,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:55:29,22.0,22.0,45.6,50.0,-12.0,-12.0,30.5,2.45,32.4,20,80,11.1,29.3,22.0,27.6,22.0,34.3,33.9,30.9,30.0,30.0,29.2,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:55:34,22.0,22.0,45.6,50.0,-12.0,-12.0,30.5,2.45,32.4,20,80,11.1,29.3,22.0,27.6,22.0,34.3,33.9,30.9,30.0,30.0,29.2,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:55:34,22.0,22.0,45.6,50.0,-12.0,-12.0,30.5,2.45,32.4,20,80,11.1,29.3,22.0,27.6,22.0,34.3,33.9,30.9,30.0,30.0,29.2,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:05:29,22.0,22.0,45.6,50.0,-12.0,-12.0,33.3,2.45,32.9,20,80,11.1,32.7,22.0,28.2,22.0,37.1,36.6,33.5,30.0,30.0,32.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:05:32,22.0,22.0,45.6,50.0,-12.0,-12.0,33.3,2.45,33.4,20,80,11.1,32.7,22.0,28.2,22.0,37.1,36.8,33.5,30.0,30.0,32.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:05:34,22.0,22.0,45.6,50.0,-12.0,-12.0,33.3,2.45,33.4,20,80,11.1,32.7,22.0,28.2,22.0,37.1,36.8,33.5,30.0,30.0,32.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:15:29,22.0,22.0,45.6,50.0,-12.0,-12.0,33.1,2.39,0.0,0,0,10.9,34.3,22.0,28.1,22.0,35.3,35.4,33.6,30.0,30.0,34.3,467,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:15:33,22.0,22.0,45.6,50.0,-12.0,-12.0,33.1,2.39,0.0,0,0,10.9,34.3,22.0,28.1,22.0,35.3,35.4,33.6,30.0,30.0,34.3,467,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:15:34,22.0,22.0,45.6,50.0,-12.0,-12.0,33.1,2.39,0.0,0,0,10.9,34.3,22.0,28.1,22.0,35.3,35.4,33.6,30.0,30.0,34.3,467,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:25:29,22.0,22.0,45.6,50.0,-12.0,-12.0,27.8,2.39,0.0,0,0,10.9,34.3,22.0,28.1,22.0,35.0,34.8,33.1,30.0,30.0,34.3,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:25:32,22.0,22.0,45.6,50.0,-12.0,-12.0,27.8,2.39,0.0,0,0,10.9,34.3,22.0,28.1,22.0,35.0,34.8,33.1,30.0,30.0,34.3,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:25:34,22.0,22.0,45.6,50.0,-12.0,-12.0,27.8,2.39,0.0,0,0,10.9,34.3,22.0,28.1,22.0,35.0,34.8,33.1,30.0,30.0,34.3,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:35:29,22.0,22.0,45.6,50.0,-12.0,-12.0,21.1,2.37,0.0,0,0,10.7,32.7,22.0,28.1,22.0,34.8,34.3,32.7,30.0,30.0,32.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:35:34,22.0,22.0,45.6,50.0,-12.0,-12.0,21.1,2.37,0.0,0,0,10.7,32.7,22.0,28.1,22.0,34.8,34.3,32.7,30.0,30.0,32.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:35:34,22.0,22.0,45.6,50.0,-12.0,-12.0,21.1,2.37,0.0,0,0,10.7,32.7,22.0,28.1,22.0,34.8,34.3,32.7,30.0,30.0,32.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:45:29,22.0,22.0,45.7,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,10.7,28.7,22.0,28.1,22.0,34.5,33.8,32.2,30.0,30.0,28.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:45:33,22.0,22.0,45.7,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,10.7,28.7,22.0,28.1,22.0,34.5,33.8,32.2,30.0,30.0,28.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:45:34,22.0,22.0,45.7,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,10.7,28.7,22.0,28.1,22.0,34.5,33.8,32.2,30.0,30.0,28.7,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:55:29,22.0,22.0,45.6,50.0,-12.0,-12.0,16.2,2.37,0.0,0,0,10.6,27.0,22.0,28.1,22.0,34.3,33.4,31.9,30.0,30.0,27.0,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:55:32,22.0,22.0,45.6,50.0,-12.0,-12.0,16.2,2.37,0.0,0,0,10.6,27.0,22.0,28.1,22.0,34.3,33.4,31.9,30.0,30.0,27.0,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 23:55:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.2,2.37,0.0,0,0,10.6,27.0,22.0,28.1,22.0,34.3,33.4,31.9,30.0,30.0,27.0,0,2165,273,0,0,2.496,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:05:29,22.0,22.0,45.6,50.0,-12.0,-12.0,16.8,2.37,0.0,0,0,10.7,26.4,22.0,28.1,22.0,33.9,33.0,31.4,30.0,30.0,26.4,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:05:32,22.0,22.0,45.6,50.0,-12.0,-12.0,16.8,2.37,0.0,0,0,10.7,26.4,22.0,28.1,22.0,33.9,33.0,31.4,30.0,30.0,26.4,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:05:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.8,2.37,0.0,0,0,10.6,26.4,22.0,28.1,22.0,33.9,33.0,31.4,30.0,30.0,26.4,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:15:27,22.0,22.0,45.7,50.0,-12.0,-12.0,18.1,2.37,0.0,0,0,10.6,25.9,22.0,27.7,22.0,33.6,32.7,31.2,30.0,30.0,25.9,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
